State_Alpha,County_Name,il50_p1,il50_p2,il50_p3,il50_p4,il50_p5,il50_p6,il50_p7,il50_p8,il30_p1,il30_p2,il30_p3,il30_p4,il30_p5,il30_p6,il30_p7,il30_p8,il80_p1,il80_p2,il80_p3,il80_p4,il80_p5,il80_p6,il80_p7,il80_p8
KY,Floyd County,21250,24300,27350,30350,32800,35250,37650,40100,13590,18310,23030,27750,32470,35250,37650,40100,34000,38850,43700,48550,52450,56350,60250,64100
KY,Franklin County,27750,31700,35650,39600,42800,45950,49150,52300,16650,19000,23030,27750,32470,37190,41910,46630,44350,50700,57050,63350,68450,73500,78600,83650
KY,Fulton County,21250,24300,27350,30350,32800,35250,37650,40100,13590,18310,23030,27750,32470,35250,37650,40100,34000,38850,43700,48550,52450,56350,60250,64100
KY,Gallatin County,33450,38200,43000,47750,51600,55400,59250,63050,20100,22950,25800,28650,32470,37190,41910,46630,53500,61150,68800,76400,82550,88650,94750,100850
KY,Garrard County,24900,28450,32000,35550,38400,41250,44100,46950,14950,18310,23030,27750,32470,37190,41910,46630,39850,45550,51250,56900,61500,66050,70600,75150
KY,Grant County,21950,25050,28200,31300,33850,36350,38850,41350,13590,18310,23030,27750,32470,36350,38850,41350,35100,40100,45100,50100,54150,58150,62150,66150
KY,Graves County,23100,26400,29700,33000,35650,38300,40950,43600,13900,18310,23030,27750,32470,37190,40950,43600,36950,42200,47500,52750,57000,61200,65450,69650
KY,Grayson County,21250,24300,27350,30350,32800,35250,37650,40100,13590,18310,23030,27750,32470,35250,37650,40100,34000,38850,43700,48550,52450,56350,60250,64100
KY,Green County,21250,24300,27350,30350,32800,35250,37650,40100,13590,18310,23030,27750,32470,35250,37650,40100,34000,38850,43700,48550,52450,56350,60250,64100
KY,Greenup County,22900,26200,29450,32700,35350,37950,40550,43200,13750,18310,23030,27750,32470,37190,40550,43200,36650,41850,47100,52300,56500,60700,64900,69050
KY,Hancock County,25200,28800,32400,36000,38900,41800,44650,47550,15150,18310,23030,27750,32470,37190,41910,46630,40350,46100,51850,57600,62250,66850,71450,76050
KY,Hardin County,25550,29200,32850,36450,39400,42300,45200,48150,15300,18310,23030,27750,32470,37190,41910,46630,40850,46650,52500,58300,63000,67650,72300,77000
KY,Harlan County,21250,24300,27350,30350,32800,35250,37650,40100,13590,18310,23030,27750,32470,35250,37650,40100,34000,38850,43700,48550,52450,56350,60250,64100
KY,Harrison County,24850,28400,31950,35450,38300,41150,44000,46800,14900,18310,23030,27750,32470,37190,41910,46630,39700,45400,51050,56700,61250,65800,70350,74850
KY,Hart County,21250,24300,27350,30350,32800,35250,37650,40100,13590,18310,23030,27750,32470,35250,37650,40100,34000,38850,43700,48550,52450,56350,60250,64100
KY,Henderson County,29300,33500,37700,41850,45200,48550,51900,55250,17600,20100,23030,27750,32470,37190,41910,46630,46900,53600,60300,66950,72350,77700,83050,88400
KY,Henry County,29650,33900,38150,42350,45750,49150,52550,55950,17800,20350,23030,27750,32470,37190,41910,46630,47450,54200,61000,67750,73200,78600,84050,89450
KY,Hickman County,21950,25050,28200,31300,33850,36350,38850,41350,13590,18310,23030,27750,32470,36350,38850,41350,35100,40100,45100,50100,54150,58150,62150,66150
KY,Hopkins County,22800,26050,29300,32550,35200,37800,40400,43000,13700,18310,23030,27750,32470,37190,40400,43000,36500,41700,46900,52100,56300,60450,64650,68800
KY,Jackson County,21250,24300,27350,30350,32800,35250,37650,40100,13590,18310,23030,27750,32470,35250,37650,40100,34000,38850,43700,48550,52450,56350,60250,64100
KY,Jefferson County,29650,33900,38150,42350,45750,49150,52550,55950,17800,20350,23030,27750,32470,37190,41910,46630,47450,54200,61000,67750,73200,78600,84050,89450
KY,Jessamine County,29550,33800,38000,42200,45600,49000,52350,55750,17750,20250,23030,27750,32470,37190,41910,46630,47250,54000,60750,67500,72900,78300,83700,89100
KY,Johnson County,21250,24300,27350,30350,32800,35250,37650,40100,13590,18310,23030,27750,32470,35250,37650,40100,34000,38850,43700,48550,52450,56350,60250,64100
KY,Kenton County,33450,38200,43000,47750,51600,55400,59250,63050,20100,22950,25800,28650,32470,37190,41910,46630,53500,61150,68800,76400,82550,88650,94750,100850
KY,Knott County,21250,24300,27350,30350,32800,35250,37650,40100,13590,18310,23030,27750,32470,35250,37650,40100,34000,38850,43700,48550,52450,56350,60250,64100
KY,Knox County,21250,24300,27350,30350,32800,35250,37650,40100,13590,18310,23030,27750,32470,35250,37650,40100,34000,38850,43700,48550,52450,56350,60250,64100
KY,Larue County,25550,29200,32850,36450,39400,42300,45200,48150,15300,18310,23030,27750,32470,37190,41910,46630,40850,46650,52500,58300,63000,67650,72300,77000
KY,Laurel County,21250,24300,27350,30350,32800,35250,37650,40100,13590,18310,23030,27750,32470,35250,37650,40100,34000,38850,43700,48550,52450,56350,60250,64100
KY,Lawrence County,21250,24300,27350,30350,32800,35250,37650,40100,13590,18310,23030,27750,32470,35250,37650,40100,34000,38850,43700,48550,52450,56350,60250,64100
KY,Lee County,21250,24300,27350,30350,32800,35250,37650,40100,13590,18310,23030,27750,32470,35250,37650,40100,34000,38850,43700,48550,52450,56350,60250,64100
KY,Leslie County,21250,24300,27350,30350,32800,35250,37650,40100,13590,18310,23030,27750,32470,35250,37650,40100,34000,38850,43700,48550,52450,56350,60250,64100
KY,Letcher County,21250,24300,27350,30350,32800,35250,37650,40100,13590,18310,23030,27750,32470,35250,37650,40100,34000,38850,43700,48550,52450,56350,60250,64100
KY,Lewis County,21250,24300,27350,30350,32800,35250,37650,40100,13590,18310,23030,27750,32470,35250,37650,40100,34000,38850,43700,48550,52450,56350,60250,64100
KY,Lincoln County,21250,24300,27350,30350,32800,35250,37650,40100,13590,18310,23030,27750,32470,35250,37650,40100,34000,38850,43700,48550,52450,56350,60250,64100
KY,Livingston County,22700,25950,29200,32400,35000,37600,40200,42800,13650,18310,23030,27750,32470,37190,40200,42800,36300,41500,46700,51850,56000,60150,64300,68450
KY,Logan County,22300,25450,28650,31800,34350,36900,39450,42000,13590,18310,23030,27750,32470,36900,39450,42000,35650,40750,45850,50900,55000,59050,63150,67200
KY,Lyon County,24650,28150,31650,35150,38000,40800,43600,46400,14800,18310,23030,27750,32470,37190,41910,46400,39400,45000,50650,56250,60750,65250,69750,74250
KY,McCracken County,24900,28450,32000,35550,38400,41250,44100,46950,14950,18310,23030,27750,32470,37190,41910,46630,39850,45550,51250,56900,61500,66050,70600,75150
KY,McCreary County,21250,24300,27350,30350,32800,35250,37650,40100,13590,18310,23030,27750,32470,35250,37650,40100,34000,38850,43700,48550,52450,56350,60250,64100
KY,McLean County,25200,28800,32400,36000,38900,41800,44650,47550,15150,18310,23030,27750,32470,37190,41910,46630,40350,46100,51850,57600,62250,66850,71450,76050
KY,Madison County,26150,29900,33650,37350,40350,43350,46350,49350,15700,18310,23030,27750,32470,37190,41910,46630,41850,47800,53800,59750,64550,69350,74100,78900
KY,Magoffin County,21250,24300,27350,30350,32800,35250,37650,40100,13590,18310,23030,27750,32470,35250,37650,40100,34000,38850,43700,48550,52450,56350,60250,64100
KY,Marion County,22300,25450,28650,31800,34350,36900,39450,42000,13590,18310,23030,27750,32470,36900,39450,42000,35650,40750,45850,50900,55000,59050,63150,67200
KY,Marshall County,26750,30550,34350,38150,41250,44300,47350,50400,16050,18350,23030,27750,32470,37190,41910,46630,42700,48800,54900,61000,65900,70800,75650,80550
KY,Martin County,21250,24300,27350,30350,32800,35250,37650,40100,13590,18310,23030,27750,32470,35250,37650,40100,34000,38850,43700,48550,52450,56350,60250,64100
KY,Mason County,23700,27050,30450,33800,36550,39250,41950,44650,14250,18310,23030,27750,32470,37190,41910,44650,37900,43300,48700,54100,58450,62800,67100,71450
KY,Meade County,27150,31000,34900,38750,41850,44950,48050,51150,16300,18600,23030,27750,32470,37190,41910,46630,43400,49600,55800,61950,66950,71900,76850,81800
KY,Menifee County,21250,24300,27350,30350,32800,35250,37650,40100,13590,18310,23030,27750,32470,35250,37650,40100,34000,38850,43700,48550,52450,56350,60250,64100
KY,Mercer County,25700,29400,33050,36700,39650,42600,45550,48450,15400,18310,23030,27750,32470,37190,41910,46630,41100,47000,52850,58700,63400,68100,72800,77500
KY,Metcalfe County,21250,24300,27350,30350,32800,35250,37650,40100,13590,18310,23030,27750,32470,35250,37650,40100,34000,38850,43700,48550,52450,56350,60250,64100
KY,Monroe County,21250,24300,27350,30350,32800,35250,37650,40100,13590,18310,23030,27750,32470,35250,37650,40100,34000,38850,43700,48550,52450,56350,60250,64100
KY,Montgomery County,21550,24600,27700,30750,33250,35700,38150,40600,13590,18310,23030,27750,32470,35700,38150,40600,34450,39400,44300,49200,53150,57100,61050,64950
KY,Morgan County,21250,24300,27350,30350,32800,35250,37650,40100,13590,18310,23030,27750,32470,35250,37650,40100,34000,38850,43700,48550,52450,56350,60250,64100
KY,Muhlenberg County,21700,24800,27900,30950,33450,35950,38400,40900,13590,18310,23030,27750,32470,35950,38400,40900,34650,39600,44550,49500,53500,57450,61400,65350
KY,Nelson County,28150,32200,36200,40200,43450,46650,49850,53100,16900,19300,23030,27750,32470,37190,41910,46630,45050,51450,57900,64300,69450,74600,79750,84900
KY,Nicholas County,21600,24700,27800,30850,33350,35800,38300,40750,13590,18310,23030,27750,32470,35800,38300,40750,34550,39500,44450,49350,53300,57250,61200,65150
KY,Ohio County,21250,24300,27350,30350,32800,35250,37650,40100,13590,18310,23030,27750,32470,35250,37650,40100,34000,38850,43700,48550,52450,56350,60250,64100
KY,Oldham County,29650,33900,38150,42350,45750,49150,52550,55950,17800,20350,23030,27750,32470,37190,41910,46630,47450,54200,61000,67750,73200,78600,84050,89450
KY,Owen County,21700,24800,27900,30950,33450,35950,38400,40900,13590,18310,23030,27750,32470,35950,38400,40900,34650,39600,44550,49500,53500,57450,61400,65350
KY,Owsley County,21250,24300,27350,30350,32800,35250,37650,40100,13590,18310,23030,27750,32470,35250,37650,40100,34000,38850,43700,48550,52450,56350,60250,64100
KY,Pendleton County,33450,38200,43000,47750,51600,55400,59250,63050,20100,22950,25800,28650,32470,37190,41910,46630,53500,61150,68800,76400,82550,88650,94750,100850
KY,Perry County,21250,24300,27350,30350,32800,35250,37650,40100,13590,18310,23030,27750,32470,35250,37650,40100,34000,38850,43700,48550,52450,56350,60250,64100
KY,Pike County,21250,24300,27350,30350,32800,35250,37650,40100,13590,18310,23030,27750,32470,35250,37650,40100,34000,38850,43700,48550,52450,56350,60250,64100
KY,Powell County,21250,24300,27350,30350,32800,35250,37650,40100,13590,18310,23030,27750,32470,35250,37650,40100,34000,38850,43700,48550,52450,56350,60250,64100
KY,Pulaski County,21250,24300,27350,30350,32800,35250,37650,40100,13590,18310,23030,27750,32470,35250,37650,40100,34000,38850,43700,48550,52450,56350,60250,64100
KY,Robertson County,21900,25000,28150,31250,33750,36250,38750,41250,13590,18310,23030,27750,32470,36250,38750,41250,35000,40000,45000,50000,54000,58000,62000,66000
KY,Rockcastle County,21250,24300,27350,30350,32800,35250,37650,40100,13590,18310,23030,27750,32470,35250,37650,40100,34000,38850,43700,48550,52450,56350,60250,64100
KY,Rowan County,21250,24300,27350,30350,32800,35250,37650,40100,13590,18310,23030,27750,32470,35250,37650,40100,34000,38850,43700,48550,52450,56350,60250,64100
KY,Russell County,21250,24300,27350,30350,32800,35250,37650,40100,13590,18310,23030,27750,32470,35250,37650,40100,34000,38850,43700,48550,52450,56350,60250,64100
KY,Scott County,29550,33800,38000,42200,45600,49000,52350,55750,17750,20250,23030,27750,32470,37190,41910,46630,47250,54000,60750,67500,72900,78300,83700,89100
KY,Shelby County,30700,35050,39450,43800,47350,50850,54350,57850,18450,21050,23700,27750,32470,37190,41910,46630,49100,56100,63100,70100,75750,81350,86950,92550
KY,Simpson County,22900,26150,29400,32650,35300,37900,40500,43100,13750,18310,23030,27750,32470,37190,40500,43100,36600,41800,47050,52250,56450,60650,64800,69000
KY,Spencer County,29650,33900,38150,42350,45750,49150,52550,55950,17800,20350,23030,27750,32470,37190,41910,46630,47450,54200,61000,67750,73200,78600,84050,89450
KY,Taylor County,21250,24300,27350,30350,32800,35250,37650,40100,13590,18310,23030,27750,32470,35250,37650,40100,34000,38850,43700,48550,52450,56350,60250,64100
KY,Todd County,21250,24300,27350,30350,32800,35250,37650,40100,13590,18310,23030,27750,32470,35250,37650,40100,34000,38850,43700,48550,52450,56350,60250,64100
KY,Trigg County,24700,28200,31750,35250,38100,40900,43750,46550,14850,18310,23030,27750,32470,37190,41910,46550,39500,45150,50800,56400,60950,65450,69950,74450
KY,Trimble County,25600,29250,32900,36550,39500,42400,45350,48250,15400,18310,23030,27750,32470,37190,41910,46630,40950,46800,52650,58500,63200,67900,72550,77250
KY,Union County,21600,24700,27800,30850,33350,35800,38300,40750,13590,18310,23030,27750,32470,35800,38300,40750,34550,39500,44450,49350,53300,57250,61200,65150
KY,Warren County,25700,29400,33050,36700,39650,42600,45550,48450,15400,18310,23030,27750,32470,37190,41910,46630,41050,46900,52750,58600,63300,68000,72700,77400
KY,Washington County,25000,28550,32100,35650,38550,41400,44250,47100,15000,18310,23030,27750,32470,37190,41910,46630,39950,45650,51350,57050,61650,66200,70750,75350
KY,Wayne County,21250,24300,27350,30350,32800,35250,37650,40100,13590,18310,23030,27750,32470,35250,37650,40100,34000,38850,43700,48550,52450,56350,60250,64100
KY,Webster County,21300,24350,27400,30400,32850,35300,37700,40150,13590,18310,23030,27750,32470,35300,37700,40150,34100,38950,43800,48650,52550,56450,60350,64250
KY,Whitley County,21250,24300,27350,30350,32800,35250,37650,40100,13590,18310,23030,27750,32470,35250,37650,40100,34000,38850,43700,48550,52450,56350,60250,64100
KY,Wolfe County,21250,24300,27350,30350,32800,35250,37650,40100,13590,18310,23030,27750,32470,35250,37650,40100,34000,38850,43700,48550,52450,56350,60250,64100
KY,Woodford County,29550,33800,38000,42200,45600,49000,52350,55750,17750,20250,23030,27750,32470,37190,41910,46630,47250,54000,60750,67500,72900,78300,83700,89100
